Session_ID,Date,Start_Time,End_Time,Event_Type,Status,Start_Hum,End_Hum,Target_Min,Actual_Min,Actual_Hours,Daily_Cumulative_Hours,Notes
SYSTEM,2026-03-30,00:00:00,,FILE_RESTORED,,,,,,,,Rebuilt from RAM
1774821600,2026-03-30,00:00:00,01:30:13,SECONDARY_RUN,COMPLETED,57,57,90,90.22,1.5036,1.5036,Target Reached
1774836069,2026-03-30,04:01:09,05:31:15,SECONDARY_RUN,COMPLETED,61,58,90,90.09,1.5015,3.0051,Target Reached
1774850492,2026-03-30,08:01:32,09:31:40,SECONDARY_RUN,COMPLETED,64,58,90,90.12,1.5021,4.5072,Target Reached
1774864908,2026-03-30,12:01:48,13:31:49,SECONDARY_RUN,COMPLETED,60,56,90,90.02,1.5004,6.0076,Target Reached
1774879335,2026-03-30,16:02:15,17:32:43,SECONDARY_RUN,DAILY_LIMIT_STOP,60,55,89,90.46,1.5076,7.5152,Max Daily Cap Reached
